number,value,datetime_start,datetime_complete,duration,params_N_latent,params_Nh1,params_Nh2,params_Nh3,params_ch1,params_ch2,params_ch3,params_ch4,params_ks1,params_ks2,params_ks3,params_ks4,params_lr,params_ncl,params_nll,params_p1,params_p2,params_p3,params_padding1,params_padding2,params_padding3,params_padding4,params_patience,params_prune_every,params_pruning_amount1,params_pruning_amount2,params_pruning_amount3,params_pruning_amount4,params_stride1,params_stride2,params_stride3,params_stride4,params_train_batch_size,params_weight_decay,state
33,,2021-01-19 00:25:11.197841,2021-01-19 00:30:01.495087,0 days 00:04:50.297246,4.0,60.0,,,4.0,12.0,,,5.0,4.0,,,0.013407565456679997,2.0,1.0,0.14541144545314516,,,2.0,2.0,,,9.0,1.0,0.12446964825428783,0.316068626049499,0.10148136942647693,0.17859216238191147,3.0,3.0,,,209.0,0.002240771850682121,PRUNED
34,,2021-01-19 00:30:01.516949,2021-01-19 00:31:53.129391,0 days 00:01:51.612442,1.0,117.0,66.0,,4.0,13.0,,,3.0,5.0,,,0.006915280449842746,2.0,2.0,0.08917175351001243,0.4268970856257477,,1.0,2.0,,,7.0,2.0,0.26686742138273983,0.2678625092837124,0.2157317339932337,0.2832454110770609,3.0,3.0,,,127.0,0.0001333476256151976,PRUNED
35,0.21863042625723283,2021-01-19 00:31:53.150839,2021-01-19 00:43:12.468826,0 days 00:11:19.317987,2.0,34.0,112.0,,5.0,15.0,,,5.0,4.0,,,0.0016393013768227368,2.0,2.0,0.038218390780363314,0.0014251234109805,,2.0,2.0,,,6.0,4.0,0.15839394396309897,0.31729488698972064,0.13079199052186752,0.1857561587234152,3.0,2.0,,,90.0,0.0003944982335527389,COMPLETE
36,0.2094675003588001,2021-01-19 00:43:12.503052,2021-01-19 00:56:30.180894,0 days 00:13:17.677842,3.0,88.0,,,5.0,11.0,10.0,,6.0,3.0,3.0,,0.015664667626836208,3.0,1.0,0.11414632336424925,,,3.0,0.0,1.0,,8.0,3.0,0.21468312457869076,0.20746791785728452,0.08049911805277823,0.23365465400146393,2.0,3.0,3.0,,199.0,1.0630049480550992e-05,COMPLETE
37,0.20772461364088457,2021-01-19 00:56:30.221403,2021-01-19 01:15:34.297622,0 days 00:19:04.076219,3.0,171.0,,,6.0,11.0,10.0,,6.0,2.0,3.0,,0.0008334378927951036,3.0,1.0,0.12702308914219793,,,3.0,0.0,1.0,,8.0,6.0,0.33880862779204285,0.15722115741982992,0.28045856523751167,0.2230593630331505,1.0,4.0,3.0,,427.0,8.541407090541367e-07,COMPLETE
38,,2021-01-19 01:15:34.331998,2021-01-19 01:26:23.834517,0 days 00:10:49.502519,1.0,175.0,28.0,,6.0,11.0,10.0,,6.0,2.0,3.0,,0.0009206473384879922,3.0,2.0,0.209735854051155,0.06338338066419763,,3.0,0.0,1.0,,11.0,6.0,0.34591226078632215,0.15941276467961368,0.3115251059454476,0.15916196080303857,1.0,4.0,3.0,,193.0,7.785384344416341e-07,PRUNED
39,,2021-01-19 01:26:23.859297,2021-01-19 01:36:08.514201,0 days 00:09:44.654904,2.0,85.0,17.0,,6.0,9.0,4.0,,6.0,2.0,3.0,,0.000710394473966153,3.0,2.0,0.10031950297182238,0.10468277870993659,,3.0,0.0,1.0,,9.0,7.0,0.36698239314673686,0.1907222320527078,0.2527809599652927,0.21662286067201114,1.0,4.0,3.0,,402.0,1.599843782175671e-07,PRUNED
40,0.2123142969235778,2021-01-19 01:36:08.732631,2021-01-19 02:07:26.891600,0 days 00:31:18.158969,3.0,150.0,,,7.0,9.0,8.0,,3.0,3.0,2.0,,0.0003263031907443078,3.0,1.0,0.11869136259105226,,,1.0,0.0,1.0,,8.0,5.0,0.22508010517302182,0.21106269289067703,0.29023887362293077,0.12351368727404044,1.0,4.0,2.0,,228.0,8.955808324853373e-06,COMPLETE
41,0.20668452678302926,2021-01-19 02:07:26.928375,2021-01-19 02:23:11.984145,0 days 00:15:45.055770,6.0,108.0,,,6.0,12.0,12.0,,6.0,3.0,3.0,,0.00187940040219892,3.0,1.0,0.15361345547391073,,,3.0,0.0,1.0,,8.0,4.0,0.2847903106494094,0.15293750179748927,0.2378577028496594,0.2413465205047548,2.0,3.0,3.0,,428.0,2.3140566827336586e-05,COMPLETE
42,0.2281750845187704,2021-01-19 02:23:12.018223,2021-01-19 02:47:18.458861,0 days 00:24:06.440638,7.0,91.0,,,6.0,12.0,13.0,,6.0,2.0,3.0,,0.0019619521486503168,3.0,1.0,0.2399389916512949,,,3.0,0.0,1.0,,10.0,5.0,0.28582233673512186,0.14933392359112282,0.2628861595597703,0.23820018972331944,2.0,3.0,3.0,,430.0,2.1027838982632217e-06,COMPLETE
